,player,player_id,birth_date,height_weight,batting_hand,throwing_hand,position
0,니퍼트,61240,1981-05-06,"203cm, 103kg",우타,우투,P
1,비야누에바,67742,1983-11-28,"188cm, 100kg",우타,우투,P
2,송창식,74731,1985-03-25,"183cm, 104kg",우타,우투,P
3,박정진,99737,1976-05-27,"183cm, 88kg",좌타,좌투,P
4,장민재,79764,1990-03-19,"184cm, 98kg",우타,우투,P
5,김성배,73226,1981-01-12,"180cm, 86kg",우타,우언,P
6,헥터,66643,1987-01-26,"191cm, 93kg",우타,우투,P
7,김대우,61365,1984-07-26,"189cm, 95kg",좌타,우투,P
8,백정현,77446,1987-07-13,"184cm, 80kg",좌타,좌투,P
9,김승현,66492,1992-07-09,"180cm, 105kg",우타,우투,P
10,장지훈,67443,1998-12-06,"177cm, 78kg",우타,우투,P
11,심동섭,60636,1991-09-20,"185cm, 93kg",좌타,좌투,P
12,박근홍,74630,1985-08-22,"180cm, 90kg",좌타,좌투,P
13,임기영,62754,1993-04-16,"184cm, 78kg",우타,우언,P
14,켈리,65856,1989-10-04,"191cm, 98kg",우타,우투,P
15,로치,67033,1989-12-14,"183cm, 88kg",우타,우투,P
16,박희수,76858,1983-07-13,"184cm, 88kg",좌타,좌투,P
17,김주한,66859,1993-02-03,"184cm, 93kg",우타,우언,P
18,고영표,64001,1991-09-16,"187cm, 88kg",우타,우언,P
19,박정배,75250,1982-04-01,"180cm, 90kg",우타,우투,P
20,조무근,65067,1991-09-26,"198cm, 116kg",우타,우투,P
21,채병용,71845,1982-04-25,"185cm, 100kg",우타,우투,P
22,김재윤,65062,1990-09-16,"185cm, 91kg",우타,우투,P
23,밴헤켄,62322,1979-07-31,"193cm, 90kg",우타,좌투,P
24,소사,62698,1985-07-28,"185cm, 95kg",우타,우투,P
25,마정길,72749,1979-03-13,"177cm, 95kg",우타,우언,P
26,이동현,71118,1983-01-12,"192cm, 98kg",우타,우투,P
27,금민철,75258,1986-11-07,"181cm, 87kg",좌타,좌투,P
28,진해수,76650,1986-06-26,"187cm, 85kg",좌타,좌투,P
29,김상수,76430,1990-03-23,"175cm, 68kg",우타,우투,P
30,신정락,60140,1987-05-13,"177cm, 78kg",우타,우언,P
31,정찬헌,78148,1990-01-26,"187cm, 94kg",우타,우투,P
32,맨쉽,67948,1985-01-16,"187cm, 95kg",우타,우투,P
33,레일리,65546,1988-06-29,"190cm, 84kg",좌타,좌투,P
34,박시영,60559,1989-03-10,"180cm, 88kg",우타,우투,P
35,이정민,72551,1979-03-02,"182cm, 90kg",우타,우투,P
36,배장호,76540,1987-06-25,"188cm, 93kg",우타,우언,P
37,원종현,76118,1987-07-31,"182cm, 83kg",우타,우언,P
38,김진성,75867,1985-03-07,"186cm, 92kg",우타,우투,P
39,임창민,78352,1985-08-25,"183cm, 85kg",우타,우투,P
40,유희관,79229,1986-06-01,"180cm, 88kg",좌타,좌투,P
41,김승회,73248,1981-02-11,"177cm, 85kg",우타,우투,P
42,김명신,67246,1993-11-29,"178cm, 90kg",우타,우투,P
43,이용찬,77211,1989-01-02,"185cm, 85kg",우타,우투,P
44,정우람,74857,1985-06-01,"181cm, 82kg",좌타,좌투,P
45,이현승,76329,1983-10-11,"179cm, 87kg",좌타,좌투,P
46,윤규진,73750,1984-07-28,"185cm, 90kg",우타,우투,P
47,홍상삼,78247,1990-02-13,"188cm, 85kg",좌타,우투,P
48,우규민,73117,1985-01-21,"184cm, 75kg",좌타,우언,P
49,팻딘,67645,1989-05-25,"185cm, 88kg",좌타,좌투,P
50,이승현,60146,1991-11-20,"181cm, 92kg",우타,우투,P
51,권오준,99445,1980-03-09,"182cm, 80kg",우타,우언,P
52,고효준,72523,1983-02-08,"179cm, 74kg",좌타,좌투,P
53,한승혁,61666,1993-01-03,"185cm, 94kg",좌타,우투,P
54,임창용,95657,1976-06-04,"180cm, 75kg",우타,우언,P
55,심창민,61411,1993-02-01,"185cm, 86kg",우타,우언,P
56,윤희상,74838,1985-05-17,"193cm, 96kg",우타,우투,P
57,장시환,77318,1987-11-01,"184cm, 93kg",우타,우투,P
58,서진용,61895,1992-10-02,"184cm, 88kg",우타,우투,P
59,류제국,63111,1983-05-30,"190cm, 105kg",우타,우투,P
60,김건태,60339,1991-10-02,"185cm, 85kg",우타,우투,P
61,김지용,60181,1988-02-20,"177cm, 81kg",우타,우투,P
62,한현희,62363,1993-06-25,"182cm, 98kg",우타,우언,P
63,최성훈,62146,1989-10-11,"178cm, 75kg",좌타,좌투,P
64,이재학,60263,1990-10-04,"181cm, 84kg",우타,우언,P
65,김원중,62528,1993-06-14,"191cm, 97kg",좌타,우투,P
66,손승락,75321,1982-03-04,"187cm, 99kg",우타,우투,P
67,이형범,62951,1994-02-27,"181cm, 86kg",우타,우투,P
68,윤수호,65064,1992-07-09,"183cm, 90kg",우타,우투,P
69,송은범,73801,1984-03-17,"182cm, 93kg",우타,우투,P
70,안영명,73738,1984-11-19,"183cm, 90kg",우타,우투,P
71,송신영,99314,1977-03-01,"180cm, 88kg",우타,우투,P
72,윤성환,74454,1981-10-08,"183cm, 88kg",우타,우투,P
73,김윤동,62648,1993-04-01,"186cm, 97kg",우타,우투,P
74,홍건희,61643,1992-09-29,"185cm, 92kg",우타,우투,P
75,문승원,62869,1989-11-28,"183cm, 85kg",우타,우투,P
76,피어밴드,65331,1985-08-22,"190cm, 102kg",좌타,좌투,P
77,전유수,75340,1986-11-29,"185cm, 95kg",좌타,우투,P
78,임준혁,73632,1984-10-09,"182cm, 100kg",우타,우투,P
79,심재민,64017,1994-02-18,"182cm, 92kg",좌타,좌투,P
80,김성민,67828,1994-04-26,"181cm, 90kg",좌타,좌투,P
81,이상화,77563,1988-03-01,"188cm, 95kg",우타,우투,P
82,윤지웅,61329,1988-03-11,"180cm, 75kg",좌타,좌투,P
83,이보근,75342,1986-04-30,"187cm, 90kg",우타,우투,P
84,김세현,76350,1987-08-07,"188cm, 98kg",우타,우투,P
85,구창모,65933,1997-02-17,"183cm, 85kg",좌타,좌투,P
86,박진형,63512,1994-06-10,"181cm, 80kg",우타,우투,P
87,송승준,77591,1980-06-29,"184cm, 105kg",우타,우투,P
88,임정호,63959,1990-04-16,"188cm, 85kg",좌타,좌투,P
89,최성영,66920,1997-04-28,"180cm, 85kg",좌타,좌투,P
90,배영수,70425,1981-05-04,"184cm, 90kg",우타,우투,P
91,최금강,62966,1989-04-26,"195cm, 95kg",우타,우투,P
92,배재환,64995,1995-02-24,"186cm, 95kg",우타,우투,P
93,주권,65060,1995-05-31,"181cm, 82kg",우타,우투,P
94,장원준,74513,1985-07-31,"184cm, 85kg",좌타,좌투,P
95,엄상백,65056,1996-10-04,"187cm, 72kg",우타,우언,P
96,정성곤,65058,1996-07-10,"176cm, 74kg",좌타,좌투,P
97,양현종,77637,1988-03-01,"183cm, 91kg",좌타,좌투,P
98,박종훈,60841,1991-08-13,"186cm, 85kg",우타,우언,P
99,문광은,60845,1987-11-09,"180cm, 85kg",우타,우투,P
100,차우찬,76455,1987-05-31,"185cm, 80kg",좌타,좌투,P
101,장원삼,76355,1983-06-09,"181cm, 81kg",좌타,좌투,P
102,김대현,66145,1997-03-08,"188cm, 100kg",우타,우투,P
103,박세웅,64021,1995-11-30,"183cm, 79kg",우타,우투,P
104,최원태,65320,1997-01-07,"184cm, 93kg",우타,우투,P
105,해커,63938,1983-03-26,"185cm, 104kg",우타,우투,P
106,이태양,60768,1990-07-03,"192cm, 97kg",좌타,우투,P
107,함덕주,63248,1995-01-13,"181cm, 78kg",좌타,좌투,P
108,오주원,74359,1985-03-31,"184cm, 95kg",좌타,좌투,P
109,이명우,72535,1982-06-03,"185cm, 98kg",좌타,좌투,P
110,노경은,73211,1984-03-11,"186cm, 90kg",우타,우투,P
111,임찬규,61101,1992-11-20,"185cm, 80kg",우타,우투,P
112,최충연,66451,1997-03-05,"190cm, 85kg",우타,우투,P
113,박진태,67646,1994-10-19,"180cm, 83kg",우타,우투,P
114,강영식,70615,1981-06-17,"189cm, 99kg",좌타,좌투,P
115,김강률,77263,1988-08-28,"187cm, 95kg",우타,우투,P
116,강윤구,79358,1990-07-10,"183cm, 89kg",좌타,좌투,P
117,이민호,62929,2001-08-30,"189cm, 93kg",우타,우투,P
118,김동호,79791,1985-09-10,"185cm, 91kg",우타,우투,P
119,고우석,67119,1998-08-06,"182cm, 90kg",우타,우투,P
120,장필준,77927,1988-04-08,"190cm, 90kg",우타,우투,P
121,김유영,64596,1994-05-02,"180cm, 80kg",좌타,좌투,P
122,조상우,63342,1994-09-04,"186cm, 97kg",우타,우투,P
123,다이아몬드,67815,1986-07-30,"191cm, 93kg",좌타,좌투,P
124,배제성,65516,1996-09-29,"189cm, 85kg",양타,우투,P
125,김시현,67467,1998-09-26,"181cm, 89kg",우타,우투,P
126,보우덴,66226,1986-09-09,"190cm, 101kg",우타,우투,P
127,최지광,67421,1998-03-13,"173cm, 85kg",우타,우투,P
128,권혁,72447,1983-11-06,"192cm, 100kg",좌타,좌투,P
129,박치국,67266,1998-03-10,"177cm, 78kg",우타,우언,P
130,이동걸,77452,1983-08-12,"185cm, 95kg",우타,우투,P
131,홍성용,75149,1986-11-18,"180cm, 85kg",좌타,좌투,P
132,신재웅,75138,1982-03-28,"181cm, 85kg",좌타,좌투,P
133,류희운,64029,1995-06-19,"191cm, 103kg",우타,우투,P
134,김태훈,79847,1996-03-31,"177cm, 78kg",좌타,우투,P
135,김재영,66741,1993-07-22,"187cm, 84kg",우타,우언,P
136,하영민,64350,1995-05-07,"180cm, 68kg",우타,우투,P
137,김범수,65769,1995-10-03,"182cm, 81kg",좌타,좌투,P
138,브리검,67313,1988-02-10,"190cm, 90kg",우타,우투,P
139,정용운,79617,1990-07-06,"185cm, 90kg",좌타,좌투,P
140,이영하,66291,1997-11-01,"192cm, 91kg",우타,우투,P
141,김사율,99563,1980-04-17,"181cm, 95kg",우타,우투,P
142,정재원,74748,1984-08-11,"187cm, 84kg",우타,우언,P
143,정수민,66960,1990-04-01,"188cm, 92kg",우타,우투,P
144,정인욱,79440,1990-12-18,"186cm, 85kg",우타,우투,P
145,박세진,66047,1997-06-27,"178cm, 93kg",좌타,좌투,P
146,임현준,61457,1988-12-21,"185cm, 88kg",좌타,좌언,P
147,강승현,78552,1985-10-06,"186cm, 94kg",좌타,우투,P
148,안성무,63027,1990-12-14,"180cm, 80kg",우타,우투,P
149,김대유,60337,1991-05-08,"187cm, 92kg",좌타,좌투,P
150,윤영삼,61456,1992-07-14,"181cm, 87kg",양타,우투,P
151,전용훈,64267,1995-03-20,"182cm, 75kg",우타,우투,P
152,임기준,60634,1991-10-08,"182cm, 83kg",좌타,좌투,P
153,김종훈,62696,1972-01-29,"183cm, 80kg",우타,우투,P
154,김진영,67737,1992-04-16,"180cm, 89kg",우타,우투,P
155,조정훈,75537,1985-05-03,"188cm, 95kg",우타,우투,P
156,이건욱,64861,1995-02-13,"182cm, 85kg",우타,우투,P
157,박상원,67703,1994-09-09,"189cm, 88kg",우타,우투,P
158,린드블럼,65543,1987-06-15,"195cm, 105kg",우타,우투,P
159,임대한,66493,1993-08-13,"178cm, 85kg",좌타,우투,P
160,이영준,64051,1991-10-10,"184cm, 97kg",좌타,좌투,P
161,김경태,60757,1991-02-28,"183cm, 90kg",좌타,좌투,P
162,정영일,62056,1988-11-16,"188cm, 98kg",우타,우투,P
163,김정인,65392,1996-06-03,"183cm, 70kg",우타,우투,P
164,여건욱,79825,1986-09-16,"185cm, 92kg",우타,우투,P
165,이종혁,67066,1997-05-29,"190cm, 86kg",우타,우투,P
166,유원상,76757,1986-06-17,"187cm, 93kg",우타,우투,P
167,진명호,79545,1989-03-20,"192cm, 98kg",좌타,우투,P
168,이민우,65616,1993-02-09,"185cm, 97kg",우타,우투,P
169,김민우,65764,1995-07-25,"189cm, 105kg",우타,우투,P
170,김도영,66098,2003-10-02,"183cm, 85kg",우타,우투,P
171,샘슨,68748,1991-01-06,"188cm, 102kg",우타,우투,P
172,박주홍,68703,1999-08-20,"178cm, 109kg",좌타,좌투,P
173,고창성,78248,1984-12-21,"184cm, 82kg",우타,우언,P
174,윌슨,68135,1989-09-25,"188cm, 84kg",우타,우투,P
175,듀브론트,68526,1987-10-23,"188cm, 108kg",좌타,좌투,P
176,곽빈,68220,1999-05-28,"187cm, 95kg",우타,우투,P
177,김선기,66018,1991-09-01,"187cm, 94kg",우타,우투,P
178,문경찬,65643,1992-07-08,"186cm, 85kg",우타,우투,P
179,유승철,67640,1998-03-02,"184cm, 87kg",양타,우투,P
180,베렛,68953,1990-06-19,"188cm, 86kg",우타,우투,P
181,김광현,77829,1988-07-22,"188cm, 88kg",좌타,좌투,P
182,김대우,78536,1984-07-26,"189cm, 95kg",좌타,우투,P
183,구승민,63543,1990-06-12,"181cm, 80kg",우타,우투,P
184,아델만,68435,1987-11-13,"196cm, 102kg",우타,우투,P
185,산체스,68815,1989-11-28,"185cm, 88kg",우타,우투,P
186,후랭코프,68240,1988-08-27,"195cm, 95kg",우타,우투,P
187,보니야,68400,1990-06-18,"186cm, 102kg",우타,우투,P
188,김기태,76461,1969-05-23,"180cm, 85kg",좌타,좌투,P
189,박정수,65639,1996-01-29,"178cm, 74kg",좌타,우언,P
190,양창섭,68415,1999-09-22,"182cm, 85kg",우타,우투,P
191,이우찬,61145,1992-08-04,"183cm, 88kg",좌타,좌투,P
192,오현택,79293,1985-07-17,"180cm, 73kg",우타,우언,P
193,김진욱,68701,2000-01-13,"176cm, 79kg",우타,우투,P
194,배재준,63145,1994-11-24,"188cm, 80kg",우타,우투,P
195,김유신,68659,1999-06-14,"187cm, 100kg",좌타,좌투,P
196,이승진,64805,1995-01-07,"186cm, 88kg",우타,우투,P
197,정태승,62595,1988-03-17,"178cm, 96kg",좌타,좌투,P
198,황인준,65618,1991-07-23,"184cm, 94kg",우타,우투,P
199,김민규,68200,1999-05-07,"183cm, 90kg",좌타,우투,P
200,정성종,68556,1995-11-16,"181cm, 88kg",좌타,우투,P
201,최채흥,68419,1995-01-22,"186cm, 97kg",좌타,좌투,P
202,양현,61268,1992-08-23,"188cm, 70kg",우타,우언,P
203,안우진,68341,1999-08-30,"191cm, 90kg",우타,우투,P
204,윤석민,75620,1986-07-24,"185cm, 90kg",우타,우투,P
205,이승호,67603,1976-08-23,"189cm, 90kg",좌타,좌투,P
206,하준영,68639,1999-09-06,"182cm, 77kg",좌타,좌투,P
207,김태형,67122,1967-09-12,"175cm, 82kg",우타,우투,P
208,문성현,60336,1991-11-09,"180cm, 87kg",우타,우투,P
209,김성훈,67762,1993-10-27,"172cm, 68kg",좌타,우투,P
210,강지광,79130,1990-10-23,"181cm, 100kg",우타,우투,P
211,고영창,63628,1989-02-24,"189cm, 100kg",우타,우투,P
212,김민,68043,1999-04-14,"185cm, 88kg",우타,우투,P
213,전인환,79339,1990-06-04,"183cm, 83kg",우타,우투,P
214,박성모,68201,1995-02-22,"186cm, 86kg",좌타,좌투,P
215,최민준,68856,1999-06-11,"178cm, 83kg",우타,우투,P
216,김태형,62918,1967-09-12,"175cm, 82kg",우타,우투,P
217,김택형,65343,1996-10-10,"185cm, 90kg",좌타,좌투,P
218,김태오,66064,1997-07-29,"183cm, 84kg",좌타,좌투,P
219,김건국,76225,1988-02-02,"179cm, 85kg",우타,우투,P
220,홍성민,62655,1989-07-15,"191cm, 82kg",양타,우언,P
221,임준섭,62611,1989-07-16,"181cm, 88kg",좌타,좌투,P
222,전상현,66609,1996-04-18,"182cm, 84kg",우타,우투,P
223,허준혁,79535,1999-07-02,"180cm, 85kg",우타,우투,P
224,박진우,63991,1990-02-12,"180cm, 83kg",우타,우언,P
225,박민호,64893,1992-02-25,"185cm, 95kg",우타,우언,P
226,김민수,65048,1992-07-24,"188cm, 80kg",우타,우투,P
227,이상민,63960,1990-11-04,"180cm, 85kg",좌타,좌투,P
228,김종수,63765,1994-06-03,"180cm, 80kg",우타,우투,P
229,박준표,63638,1992-06-26,"181cm, 93kg",우타,우언,P
230,서폴드,69744,1990-01-16,"188cm, 101kg",우타,우투,P
231,윤명준,62242,1989-06-18,"178cm, 78kg",우타,우투,P
232,쿠에바스,69032,1990-10-14,"188cm, 98kg",양타,우투,P
233,하재훈,69813,1990-10-29,"182cm, 90kg",우타,우투,P
234,이준영,65665,1992-08-10,"177cm, 85kg",좌타,좌투,P
235,맥과이어,69413,1989-06-23,"198cm, 100kg",우타,우투,P
236,홍정우,65496,1996-03-16,"182cm, 85kg",우타,우투,P
237,이인복,64565,1991-06-18,"187cm, 94kg",우타,우투,P
238,채드벨,69748,1989-02-28,"190cm, 90kg",우타,좌투,P
239,손동현,69041,2001-01-23,"183cm, 88kg",좌타,우투,P
240,켈리,69103,1989-10-04,"191cm, 98kg",우타,우투,P
241,김기훈,69620,2000-01-03,"184cm, 93kg",좌타,좌투,P
242,정우영,69159,1999-08-19,"193cm, 85kg",우타,우언,P
243,루친스키,69940,1988-12-30,"188cm, 91kg",우타,우투,P
244,요키시,69343,1989-07-29,"188cm, 93kg",우타,좌투,P
245,박주성,69328,2000-11-09,"181cm, 95kg",우타,우투,P
246,이대은,67008,1989-03-23,"189cm, 90kg",좌타,우투,P
247,다익손,69861,1994-07-02,"205cm, 117kg",우타,우투,P
248,원태인,69446,2000-04-06,"183cm, 92kg",우타,우투,P
249,윌랜드,69656,1990-01-21,"188cm, 92kg",우타,우투,P
250,김영규,68900,2000-02-10,"188cm, 86kg",좌타,좌투,P
251,알칸타라,69045,1992-12-04,"193cm, 100kg",우타,우투,P
252,서준원,69539,2000-11-05,"187cm, 95kg",우타,우언,P
253,김현수,69516,2000-07-10,"185cm, 90kg",우타,우투,P
254,배민서,69974,1999-11-18,"184cm, 81kg",우타,우언,P
255,문동욱,64554,1992-01-07,"187cm, 90kg",좌타,우투,P
256,최하늘,68501,1999-03-26,"190cm, 99kg",우타,우언,P
257,최영환,64718,1992-02-20,"179cm, 92kg",우타,우투,P
258,윤호솔,63961,1994-07-15,"183cm, 99kg",우타,우투,P
259,송명기,69962,2000-08-09,"191cm, 93kg",우타,우투,P
260,차명진,64615,1995-03-03,"188cm, 104kg",우타,우투,P
261,이정현,67048,1997-12-05,"188cm, 93kg",우타,우투,P
262,이승헌,68529,1998-12-19,"196cm, 97kg",우타,우투,P
263,조현우,64047,1994-03-30,"182cm, 79kg",좌타,좌투,P
264,윤정현,69399,1993-05-17,"187cm, 110kg",좌타,좌투,P
265,김윤수,68403,1999-12-08,"183cm, 94kg",우타,우투,P
266,프리드릭,69953,1987-07-08,"194cm, 100kg",우타,좌투,P
267,하준호,78517,1989-04-29,"174cm, 78kg",좌타,좌투,P
268,이선우,69068,2000-09-19,"186cm, 90kg",우타,우투,P
269,소이현,67962,1999-02-09,"185cm, 93kg",우타,우투,P
270,강백호,68050,1999-07-29,"184cm, 98kg",좌타,우투,P
271,데스파이네,50040,1987-04-04,"182cm, 92kg",우타,우투,P
272,스트레일리,50558,1988-12-01,"189cm, 100kg",우타,우투,P
273,채지선,65241,1995-07-11,"180cm, 70kg",좌타,우투,P
274,김윤식,50157,2000-04-03,"181cm, 83kg",좌타,좌투,P
275,김현준,66630,1997-06-05,"182cm, 78kg",우타,우투,P
276,김재웅,67391,1998-10-22,"173cm, 88kg",좌타,좌투,P
277,이민호,50126,2001-08-30,"189cm, 93kg",우타,우투,P
278,뷰캐넌,50404,1989-05-11,"190cm, 90kg",우타,우투,P
279,플렉센,50234,1994-07-01,"191cm, 113kg",우타,우투,P
280,가뇽,50640,1990-06-26,"193cm, 97kg",우타,우투,P
281,소형준,50030,2001-09-16,"189cm, 92kg",우타,우투,P
282,황윤호,62908,1993-09-22,"177cm, 78kg",우타,우투,P
283,김성훈,69098,1993-10-27,"172cm, 68kg",좌타,우투,P
284,황동재,50441,2001-11-03,"191cm, 97kg",우타,우투,P
285,송윤준,61156,1992-07-16,"186cm, 78kg",좌타,좌투,P
286,샘슨,50524,1991-01-06,"188cm, 102kg",우타,우투,P
287,허윤동,50449,2001-06-19,"181cm, 90kg",좌타,좌투,P
288,윤대경,63464,1994-04-09,"179cm, 75kg",우타,우투,P
289,노시환,69737,2000-12-03,"185cm, 96kg",우타,우투,P
290,오승환,75421,1982-07-15,"178cm, 93kg",우타,우투,P
291,강재민,50705,1997-04-03,"180cm, 86kg",우타,우투,P
292,이승민,50464,2000-08-26,"174cm, 79kg",좌타,좌투,P
293,한승주,50726,2001-03-17,"184cm, 83kg",우타,우투,P
294,김진호,67954,1998-06-07,"183cm, 90kg",우타,우투,P
295,정해영,50662,2001-08-23,"189cm, 98kg",우타,우투,P
296,서덕원,66663,1993-07-12,"183cm, 89kg",우타,우투,P
297,이재익,63492,1994-03-18,"180cm, 76kg",좌타,좌투,P
298,김동혁,50360,2001-12-27,"183cm, 83kg",우타,우투,P
299,최준용,50556,2001-10-10,"185cm, 85kg",우타,우투,P
300,이정용,69134,1996-03-26,"186cm, 85kg",우타,우투,P
301,이찬혁,67164,1998-08-19,"187cm, 90kg",우타,우투,P
302,신민혁,68902,1999-02-04,"184cm, 95kg",우타,우투,P
303,박진우,63991,1990-02-12,"180cm, 83kg",우타,우언,P
304,박진형,63512,1994-06-10,"181cm, 80kg",우타,우투,P
305,구승민,63543,1990-06-12,"181cm, 80kg",우타,우투,P
306,송명기,69962,2000-08-09,"191cm, 93kg",우타,우투,P
307,오현택,79293,1985-07-17,"180cm, 73kg",우타,우언,P
308,김원중,62528,1993-06-14,"191cm, 97kg",좌타,우투,P
309,임정호,63959,1990-04-16,"188cm, 85kg",좌타,좌투,P
310,배재환,64995,1995-02-24,"186cm, 95kg",우타,우투,P
311,송승준,77591,1980-06-29,"184cm, 105kg",우타,우투,P
312,원종현,76118,1987-07-31,"182cm, 83kg",우타,우언,P
313,알칸타라,69045,1992-12-04,"193cm, 100kg",우타,우투,P
314,요키시,69343,1989-07-29,"188cm, 93kg",우타,좌투,P
315,김태훈,62360,1996-03-31,"177cm, 78kg",좌타,우투,P
316,이현승,76329,1983-10-11,"179cm, 87kg",좌타,좌투,P
317,홍건희,61643,1992-09-29,"185cm, 92kg",우타,우투,P
318,이영준,64051,1991-10-10,"184cm, 97kg",좌타,좌투,P
319,이형범,62951,1994-02-27,"181cm, 86kg",우타,우투,P
320,안우진,68341,1999-08-30,"191cm, 90kg",우타,우투,P
321,채지선,65241,1995-07-11,"180cm, 70kg",좌타,우투,P
322,김상수,76430,1990-03-23,"175cm, 68kg",우타,우투,P
323,원태인,69446,2000-04-06,"183cm, 92kg",우타,우투,P
324,김범수,65769,1995-10-03,"182cm, 81kg",좌타,좌투,P
325,김대우,61365,1984-07-26,"189cm, 95kg",좌타,우투,P
326,김진욱,68701,2000-01-13,"176cm, 79kg",우타,우투,P
327,이승현,60146,1991-11-20,"181cm, 92kg",우타,우투,P
328,안영명,73738,1984-11-19,"183cm, 90kg",우타,우투,P
329,강재민,50705,1997-04-03,"180cm, 86kg",우타,우투,P
330,김윤수,68403,1999-12-08,"183cm, 94kg",우타,우투,P
331,김종수,63765,1994-06-03,"180cm, 80kg",우타,우투,P
332,오승환,75421,1982-07-15,"178cm, 93kg",우타,우투,P
333,정우람,74857,1985-06-01,"181cm, 82kg",좌타,좌투,P
334,정찬헌,78148,1990-01-26,"187cm, 94kg",우타,우투,P
335,김세현,76350,1987-08-07,"188cm, 98kg",우타,우투,P
336,최성훈,62146,1989-10-11,"178cm, 75kg",좌타,좌투,P
337,정우영,69159,1999-08-19,"193cm, 85kg",우타,우언,P
338,진해수,76650,1986-06-26,"187cm, 85kg",좌타,좌투,P
339,고우석,67119,1998-08-06,"182cm, 90kg",우타,우투,P
340,최채흥,68419,1995-01-22,"186cm, 97kg",좌타,좌투,P
341,김민우,65764,1995-07-25,"189cm, 105kg",우타,우투,P
342,송윤준,61156,1992-07-16,"186cm, 78kg",좌타,좌투,P
343,최지광,67421,1998-03-13,"173cm, 85kg",우타,우투,P
344,우규민,73117,1985-01-21,"184cm, 75kg",좌타,우언,P
345,임준섭,62611,1989-07-16,"181cm, 88kg",좌타,좌투,P
346,윤대경,63464,1994-04-09,"179cm, 75kg",우타,우투,P
347,윤호솔,63961,1994-07-15,"183cm, 99kg",우타,우투,P
348,양현종,77637,1988-03-01,"183cm, 91kg",좌타,좌투,P
349,데스파이네,50040,1987-04-04,"182cm, 92kg",우타,우투,P
350,홍상삼,78247,1990-02-13,"188cm, 85kg",좌타,우투,P
351,문경찬,65643,1992-07-08,"186cm, 85kg",우타,우투,P
352,조현우,64047,1994-03-30,"182cm, 79kg",좌타,좌투,P
353,고영창,63628,1989-02-24,"189cm, 100kg",우타,우투,P
